0, 774
00, 1
000, 30
000a, 1
06, 1
087, 1
0evidently, 1
1, 1036
10, 199
100, 17
101, 2
102, 3
1028, 1
103, 2
104, 2
105, 3
106, 2
107, 2
108, 2
109, 2
10s, 2
10th, 1
11, 147
110, 2
111, 2
112, 2
11275, 1
113, 2
114, 4
115, 2
116, 2
1164, 1
1167, 1
117, 2
118, 2
119, 2
11study, 1
11th, 3
12, 361
120, 4
1200, 1
121, 3
122, 3
123, 3
124, 2
125, 4
126, 2
1262, 1
127, 2
128, 2
129, 3
12s, 2
12th, 2
13, 73
130, 14
131, 4
132, 2
133, 4
134, 2
135, 2
136, 3
137, 2
138, 3
139, 3
13th, 2
14, 67
140, 2
141, 2
142, 4
143, 2
144, 2
145, 2
146, 2
147, 4
148, 2
149, 3
1490, 1
14s, 1
14th, 4
15, 319
150, 6
151, 2
152, 2
153, 2
15330, 1
154, 3
1541, 1
155, 2
156, 2
157, 2
158, 2
159, 3
16, 67
160, 2
161, 3
1612, 1
162, 3
1629, 1
163, 2
1632, 1
164, 2
165, 4
166, 3
167, 2
168, 3
169, 3
16s, 1
16th, 3
17, 65
170, 3
171, 2
172, 2
173, 2
174, 2
175, 2
176, 4
177, 2
178, 2
179, 2
17th, 1
18, 63
180, 3
181, 3
182, 2
183, 4
1839, 1
184, 2
1842, 1
185, 2
1853, 1
1857, 2
1858, 1
186, 3
1861, 1
1864, 1
1865, 1
1866, 3
1869, 1
187, 2
1870, 2
188, 2
1880, 1
1884, 2
1885, 12
1886, 1
1887, 2
1888, 1
1889, 1
189, 3
1890, 2
1891, 1
1892, 2
1893, 6
1894, 1
1895, 7
1896, 8
1897, 6
1898, 3
18th, 3
19, 61
190, 3
1900, 2
1901, 6
1902, 7
1903, 12
1904, 10
1905, 24
1906, 29
1907, 33
1908, 72
1909, 39
191, 4
1910, 45
1911, 625
1912, 496
1913, 336
1914, 5
1915, 3
1916, 3
1917, 1
1918, 1
1919, 2
192, 2
1920, 3
1921, 4
1923, 1
1924, 2
1926, 1
1928, 1
193, 2
1930, 2
1931, 1
1932, 1
1939, 2
194, 2
1940, 2
1941, 1
1946, 2
195, 4
196, 2
1963, 1
197, 2
198, 2
199, 2
1991, 2
19th, 2
1a, 1
1as, 1
1chhaganlal, 1
1gopal, 1
1in, 1
