0, 232
00, 1
000, 49
003, 1
01, 1
016, 1
036, 2
058, 1
081, 1
091, 1
095, 1
1, 662
10, 48
100, 14
1000, 1
101, 5
102, 3
103, 3
104, 2
105, 3
106, 3
107, 5
10714, 1
10715, 1
10721, 1
10737, 1
108, 2
109, 2
1099, 1
10th, 6
11, 50
110, 4
111, 3
112, 4
113, 4
114, 5
11434, 1
11452, 1
11453, 1
11454, 1
115, 6
116, 29
117, 4
11756, 1
118, 5
119, 2
11th, 10
12, 290
120, 3
121, 6
12144, 1
12145, 1
12146, 1
122, 4
123, 3
124, 3
124a, 2
125, 4
126, 3
127, 4
128, 3
129, 3
1293, 1
12th, 3
13, 47
130, 2
131, 3
132, 3
133, 4
134, 2
1348, 1
1349, 1
135, 4
1350, 1
136, 4
137, 2
138, 4
139, 3
13th, 1
14, 48
140, 3
1408, 1
141, 3
142, 3
143, 4
144, 3
145, 4
146, 4
147, 2
148, 5
149, 3
14974, 1
14975, 3
14th, 3
15, 41
150, 2
151, 2
15194, 2
152, 2
15213, 1
153, 3
15394, 1
154, 2
15402, 1
15403, 1
15404, 2
15405, 1
15406, 1
15408, 1
15410, 1
15418, 1
15425, 1
15432, 1
15434, 1
15449, 1
15452, 1
15461, 1
15472, 1
15473, 1
15474, 1
15479, 2
15480, 1
15482, 1
15483, 1
15485, 1
15494, 1
15496, 1
15497, 1
15498, 1
155, 3
15500, 1
15503, 1
15510, 1
156, 3
157, 3
158, 2
15802, 1
15815, 1
159, 2
15th, 3
16, 29
160, 3
1605, 1
1606, 1
1607, 1
1608, 1
161, 2
162, 2
163, 3
164, 3
165, 2
166, 4
1664, 1
167, 2
168, 2
169, 2
16th, 1
17, 35
170, 2
171, 2
172, 2
173, 2
174, 2
175, 3
176, 3
177, 3
1776, 3
178, 4
179, 2
1791, 1
17s, 1
17th, 2
18, 52
180, 2
1807, 1
181, 2
182, 2
183, 2
1833, 1
1838, 1
1839, 1
184, 3
1847, 2
185, 2
186, 2
1860, 1
187, 2
1872, 1
1875, 1
188, 3
1885, 1
1888, 2
189, 2
1893, 3
18th, 1
19, 45
190, 2
1903, 1
191, 3
1914, 3
1916, 2
1917, 1
1918, 1
192, 5
1920, 5
1921, 12
1922, 7
1923, 5
1924, 6
1925, 4
1926, 7
1927, 7
1928, 7
1929, 1071
1929chodavaram, 1
1929cuddapah, 1
1929dosakayalapalli, 1
1929east, 1
1929kateru, 1
1929kirlampudi, 1
1929madanapalli, 1
1929nagalepuram, 1
1929nandyal, 1
1929nayudupeta, 1
1929nellore, 1
1929peramana, 1
1929polavaram, 1
1929proddutur, 1
1929rajele, 1
1929tadipatri, 1
1929tirupati, 1
1929tuni, 1
1929ulavapadu, 1
1929valangi, 1
1929venkanapalem, 1
193, 3
1930, 9
1931, 4
1933, 1
194, 2
195, 2
1950, 1
196, 2
1969, 2
197, 2
198, 2
19847, 1
199, 4
19th, 1
1dhuni, 1
1st, 10
2, 344
20, 55
200, 6
201, 3
202, 2
203, 2
204, 2
205, 2
206, 2
207, 2
208, 3
209, 2
20th, 4
21, 40
210, 2
211, 2
212, 3
213, 2
214, 2
215, 3
216, 4
217, 3
218, 2
219, 2
21st, 6
22, 38
220, 2
221, 2
222, 2
223, 2
224, 2
225, 2
226, 2
227, 2
228, 2
229, 2
22nd, 5
22with, 1
23, 40
230, 3
231, 2
232, 2
233, 2
234, 2
235, 3
236, 2
237, 2
238, 2
239, 3
23rd, 1
24, 33
240, 3
241, 3
242, 2
243, 2
244, 2
245, 2
246, 3
247, 3
248, 2
249, 2
24th, 9
25, 41
250, 7
251, 2
252, 2
253, 2
254, 2
255, 2
2556, 1
256, 3
257, 2
258, 2
259, 5
25th, 5
26, 24
260, 2
261, 2
262, 2
263, 2
264, 2
265, 2
266, 2
267, 2
268, 2
269, 3
26th, 3
27, 29
270, 2
271, 2
272, 2
273, 2
274, 2
275, 2
276, 2
277, 3
278, 2
279, 3
27th, 2
28, 35
280, 2
281, 3
282, 2
2824, 1
283, 3
284, 2
285, 2
2859, 1
286, 2
287, 2
288, 2
289, 3
28th, 9
29, 35
290, 4
291, 2
292, 2
293, 2
294, 2
295, 2
296, 4
297, 2
298, 2
299, 2
29th, 3
2nd, 7
2x30, 1
3, 189
30, 43
300, 8
301, 2
302, 2
303, 2
304, 2
305, 2
306, 2
307, 2
308, 3
309, 2
3096, 1
30th, 2
30x27, 2
30x30, 1
31, 258
310, 2
311, 2
312, 2
313, 3
314, 3
315, 2
316, 5
317, 2
318, 2
319, 4
31st, 7
32, 8
320, 2
321, 3
322, 2
323, 2
3230, 1
324, 2
325, 2
32577, 69
326, 2
327, 2
328, 2
329, 2
32965, 1
32980, 1
32nd, 1
33, 8
330, 2
33026, 1
3309, 1
33095, 1
331, 3
33109, 1
332, 2
333, 3
334, 2
3347, 1
3348, 1
3349, 1
335, 2
3350, 1
3351, 1
3353, 1
3354, 1
3357, 1
3358, 1
3359, 1
336, 2
337, 2
338, 2
339, 2
34, 5
340, 2
341, 2
342, 4
343, 3
344, 2
345, 2
346, 3
347, 2
348, 3
349, 3
35, 6
350, 3
351, 2
352, 2
353, 2
354, 2
355, 2
356, 3
357, 2
358, 2
359, 2
36, 7
360, 2
361, 2
362, 2
363, 2
364, 2
365, 2
366, 2
367, 2
368, 2
369, 2
3698, 1
3699, 1
37, 8
370, 2
371, 2
3715, 1
372, 3
373, 3
374, 2
375, 2
376, 3
377, 2
378, 2
379, 2
38, 6
380, 2
381, 3
382, 2
383, 2
384, 2
385, 2
386, 3
387, 2
388, 2
389, 2
39, 6
390, 2
391, 2
392, 2
393, 2
394, 2
395, 3
396, 2
397, 2
398, 3
399, 2
4, 116
40, 9
400, 5
401, 2
402, 2
403, 2
404, 2
405, 2
406, 4
407, 5
408, 2
409, 3
41, 10
410, 3
411, 2
412, 2
413, 2
414, 2
4145, 1
4146, 1
415, 2
416, 3
417, 2
418, 2
419, 2
42, 8
420, 2
421, 2
422, 2
423, 2
424, 2
425, 2
426, 2
4260, 1
427, 2
428, 2
429, 2
43, 5
430, 2
431, 2
432, 2
433, 2
434, 2
435, 2
436, 2
437, 2
438, 2
439, 2
44, 4
440, 2
441, 1
442, 1
